Day;Citizens;Avg. salary;Water price;Bread price;
731;598;494.09698996655516;353.6818950930626;326.87854251012146;
741;525;546.2133333333334;350.4857685009488;331.9828767123288;
751;560;491.43035714285713;352.0754039497307;349.2707423580786;
761;507;542.9289940828403;349.3214990138067;352.86281588447656;
771;555;517.9603603603604;351.7713248638838;352.5477941176471;
781;551;521.7658802177858;352.02517985611513;352.4185185185185;
791;553;526.7938517179024;351.82246376811594;352.73818181818183;
801;562;512.3434163701068;352.225;350.5450819672131;
811;546;532.4542124542124;351.61678832116786;351.7423076923077;
821;563;513.0515097690941;352.3730017761989;350.1380753138075;
831;543;526.633517495396;351.40808823529414;351.6007751937984;
841;545;529.1963302752293;351.40808823529414;365.8037735849057;
851;511;522.4246575342465;350.08846153846156;365.33609958506224;
861;510;534.3411764705883;315.14741035856576;366.27814569536423;
871;513;505.68810916179336;345.792523364486;370.2927927927928;
881;490;553.065306122449;313.6464435146444;382.35504885993487;
891;560;499.3732142857143;332.6448763250883;376.09615384615387;
901;515;529.5456310679612;314.9368836291913;379.03793103448277;
911;493;523.8559837728195;354.75098039215686;370.2699115044248;
921;518;541.3474903474903;311.778431372549;379.8691275167785;
931;527;514.2447817836812;361.74632352941177;370.5635593220339;
941;529;535.2873345935727;318.50485436893206;381.44884488448844;
951;522;513.6379310344828;361.1224862888483;369.18636363636364;
961;518;526.0791505791506;336.5876494023904;360.5698924731183;
971;521;521.8752399232245;359.0399239543726;356.46530612244896;
981;544;526.2352941176471;346.3308270676692;368.43373493975906;
991;523;529.1835564053538;344.67977528089887;364.5275590551181;
